@RELATION FEATURE_RUNSTATUS_MIPVerifySDP_cleanARPsamplefeatureset

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE trivialFeatures {ok,timeout,memout,presolved,crash,unknown,other}
@ATTRIBUTE LPbasedFeatures {ok,timeout,memout,presolved,crash,unknown,other}
@ATTRIBUTE NonContinuousFeatures {ok,timeout,memout,presolved,crash,unknown,other}
@ATTRIBUTE ContinuousFeatures {ok,timeout,memout,presolved,crash,unknown,other}
@ATTRIBUTE allVariablesFeatures {ok,timeout,memout,presolved,crash,unknown,other}
@ATTRIBUTE ProbingFeatures {ok,timeout,memout,presolved,crash,unknown,other}

@DATA
mip9411, 1, ok, ok, ok, ok, ok, ok
mip22, 1, ok, ok, ok, ok, ok, ok
mip3938, 1, ok, ok, ok, ok, ok, ok
mip4546, 1, ok, ok, ok, ok, ok, ok
mip2735, 1, ok, ok, ok, ok, ok, ok
mip6717, 1, ok, ok, ok, ok, ok, ok
mip2531, 1, ok, ok, ok, ok, ok, ok
mip3790, 1, ok, ok, ok, ok, ok, ok
mip519, 1, ok, ok, ok, ok, ok, ok
mip4506, 1, ok, ok, ok, ok, ok, ok
mip1006, 1, ok, ok, ok, ok, ok, ok
mip20, 1, ok, ok, ok, ok, ok, ok
mip6546, 1, ok, ok, ok, ok, ok, ok
mip3047, 1, ok, ok, ok, ok, ok, ok
mip7979, 1, ok, ok, ok, ok, ok, ok
mip8111, 1, ok, ok, ok, ok, ok, ok
mip1191, 1, ok, ok, ok, ok, ok, ok
mip1292, 1, ok, ok, ok, ok, ok, ok
mip9904, 1, ok, ok, ok, ok, ok, ok
mip1059, 1, ok, ok, ok, ok, ok, ok
mip1716, 1, ok, ok, ok, ok, ok, ok
mip2762, 1, ok, ok, ok, ok, ok, ok
mip1880, 1, ok, ok, ok, ok, ok, ok
mip683, 1, ok, ok, ok, ok, ok, ok
mip2539, 1, ok, ok, ok, ok, ok, ok
mip2581, 1, ok, ok, ok, ok, ok, ok
mip3193, 1, ok, ok, ok, ok, ok, ok
mip1428, 1, ok, ok, ok, ok, ok, ok
mip3140, 1, ok, ok, ok, ok, ok, ok
mip6342, 1, ok, ok, ok, ok, ok, ok
mip1553, 1, ok, ok, ok, ok, ok, ok
mip3906, 1, ok, ok, ok, ok, ok, ok
mip7470, 1, ok, ok, ok, ok, ok, ok
mip2927, 1, ok, ok, ok, ok, ok, ok
mip3012, 1, ok, ok, ok, ok, ok, ok
mip6801, 1, ok, ok, ok, ok, ok, ok
mip1075, 1, ok, ok, ok, ok, ok, ok
mip3694, 1, ok, ok, ok, ok, ok, ok
mip8716, 1, ok, ok, ok, ok, ok, ok
mip7603, 1, ok, ok, ok, ok, ok, ok
mip9352, 1, ok, ok, ok, ok, ok, ok
mip7733, 1, ok, ok, ok, ok, ok, ok
mip1156, 1, ok, ok, ok, ok, ok, ok
mip8292, 1, ok, ok, ok, ok, ok, ok
mip6050, 1, ok, ok, ok, ok, ok, ok
mip8964, 1, ok, ok, ok, ok, ok, ok
mip9013, 1, ok, ok, ok, ok, ok, ok
mip6729, 1, ok, ok, ok, ok, ok, ok
mip2898, 1, ok, ok, ok, ok, ok, ok
mip8214, 1, ok, ok, ok, ok, ok, ok
mip2559, 1, ok, ok, ok, ok, ok, ok
mip725, 1, ok, ok, ok, ok, ok, ok
mip3967, 1, ok, ok, ok, ok, ok, ok
mip2585, 1, ok, ok, ok, ok, ok, ok
mip8886, 1, ok, ok, ok, ok, ok, ok
mip4392, 1, ok, ok, ok, ok, ok, ok
mip2208, 1, ok, ok, ok, ok, ok, ok
mip1455, 1, ok, ok, ok, ok, ok, ok
mip9885, 1, ok, ok, ok, ok, ok, ok
mip5552, 1, ok, ok, ok, ok, ok, ok
mip2068, 1, ok, ok, ok, ok, ok, ok
mip9096, 1, ok, ok, ok, ok, ok, ok
mip992, 1, ok, ok, ok, ok, ok, ok
mip6161, 1, ok, ok, ok, ok, ok, ok
mip3918, 1, ok, ok, ok, ok, ok, ok
mip3554, 1, ok, ok, ok, ok, ok, ok
mip7414, 1, ok, ok, ok, ok, ok, ok
mip949, 1, ok, ok, ok, ok, ok, ok
mip8464, 1, ok, ok, ok, ok, ok, ok
mip1304, 1, ok, ok, ok, ok, ok, ok
mip6141, 1, ok, ok, ok, ok, ok, ok
mip7147, 1, ok, ok, ok, ok, ok, ok
mip5501, 1, ok, ok, ok, ok, ok, ok
mip7910, 1, ok, ok, ok, ok, ok, ok
mip3169, 1, ok, ok, ok, ok, ok, ok
mip4665, 1, ok, ok, ok, ok, ok, ok
mip6779, 1, ok, ok, ok, ok, ok, ok
mip6309, 1, ok, ok, ok, ok, ok, ok
mip5540, 1, ok, ok, ok, ok, ok, ok
mip5849, 1, ok, ok, ok, ok, ok, ok
mip1562, 1, ok, ok, ok, ok, ok, ok
mip3256, 1, ok, ok, ok, ok, ok, ok
mip7426, 1, ok, ok, ok, ok, ok, ok
mip3973, 1, ok, ok, ok, ok, ok, ok
