@RELATION FEATURE_COSTS_MIPVerifySDP_cleanARPfeatureset

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE trivialFeatures NUMERIC
@ATTRIBUTE LPbasedFeatures NUMERIC
@ATTRIBUTE NonContinuousFeatures NUMERIC
@ATTRIBUTE ContinuousFeatures NUMERIC
@ATTRIBUTE allVariablesFeatures NUMERIC
@ATTRIBUTE ProbingFeatures NUMERIC


@DATA
mip1277, 1, 0, 1.95, 0.0166667, 0.2, 0.183333, 28.3833
mip1278, 1, 0, 1.78333, 0.0, 0.2, 0.2, 24.1167
mip1279, 1, 0, 2.18333, 0.0166667, 0.183333, 0.183333, 26.0833
mip128, 1, 0, 2.05, 0.0166667, 0.183333, 0.183333, 24.85
mip1280, 1, 0, 1.68333, 0.0166667, 0.183333, 0.2, 26.35
mip1281, 1, 0, 1.4, 0.0, 0.2, 0.2, 22.8667
mip1282, 1, 0, 2.53333, 0.0166667, 0.183333, 0.183333, 23.6667
mip1283, 1, 0, 1.98333, 0.0, 0.183333, 0.183333, 23.5833
mip1284, 1, 0, 2.45, 0.0, 0.233333, 0.2, 25.3167
mip1285, 1, 0, 2.01667, 0.0, 0.183333, 0.2, 24.7
mip1286, 1, 0, 1.95, 0.0, 0.2, 0.2, 22.7333
mip1287, 1, 0, 2.21667, 0.0, 0.2, 0.183333, 23.2333
mip1288, 1, 0, 2.26667, 0.0166667, 0.216667, 0.183333, 24.8667
mip1289, 1, 0, 1.18333, 0.0, 0.183333, 0.166667, 24.35
